timestamp_utc,open,high,low,close,volume
2023-12-29 03:00:00+00:00,42574.72,42596.0,42456.26,42581.83,365.49273
2023-12-29 03:30:00+00:00,42581.83,42800.0,42574.0,42697.42,909.56395
2023-12-29 04:00:00+00:00,42697.42,42766.68,42594.01,42617.4,523.09458
2023-12-29 04:30:00+00:00,42617.4,42699.0,42594.05,42661.96,224.97711
2023-12-29 05:00:00+00:00,42661.96,42669.64,42521.76,42521.77,407.89205
2023-12-29 05:30:00+00:00,42521.77,42702.79,42506.76,42677.71,427.20152
2023-12-29 06:00:00+00:00,42677.71,42689.77,42631.94,42689.77,289.94269
2023-12-29 06:30:00+00:00,42689.77,42689.77,42510.0,42531.13,497.93442
2023-12-29 07:00:00+00:00,42531.12,42570.12,42397.68,42477.41,583.37783
2023-12-29 07:30:00+00:00,42477.41,42487.46,42222.0,42273.34,2176.63652
2023-12-29 08:00:00+00:00,42273.35,42513.04,42268.26,42337.64,719.15747
2023-12-29 08:30:00+00:00,42337.64,42492.0,42330.3,42472.88,678.00723
2023-12-29 09:00:00+00:00,42472.88,42633.33,42419.95,42609.9,664.96319
2023-12-29 09:30:00+00:00,42609.9,42696.45,42581.3,42655.88,614.81967
2023-12-29 10:00:00+00:00,42655.88,42781.1,42621.1,42719.61,562.51023
2023-12-29 10:30:00+00:00,42719.61,42795.0,42686.0,42686.01,542.62934
2023-12-29 11:00:00+00:00,42686.0,42934.0,42677.35,42852.74,895.56648
2023-12-29 11:30:00+00:00,42852.74,42901.04,42800.98,42862.01,614.19026
2023-12-29 12:00:00+00:00,42862.0,42930.0,42765.06,42829.06,550.65735
2023-12-29 12:30:00+00:00,42829.06,42839.53,42750.01,42825.46,565.4366
2023-12-29 13:00:00+00:00,42825.45,42887.99,42706.18,42710.0,606.82172
2023-12-29 13:30:00+00:00,42710.0,42856.44,42708.0,42825.17,507.76936
2023-12-29 14:00:00+00:00,42824.3,42858.65,42764.86,42808.24,527.33542
2023-12-29 14:30:00+00:00,42808.24,43111.0,42791.1,43021.87,1114.07407
2023-12-29 15:00:00+00:00,43021.88,43038.0,42600.0,42716.01,1501.75612
2023-12-29 15:30:00+00:00,42716.02,42749.97,42106.64,42271.09,2487.52419
2023-12-29 16:00:00+00:00,42271.09,42351.1,41880.0,42212.1,2412.88435
2023-12-29 16:30:00+00:00,42212.1,42301.02,41957.25,41971.24,1724.45291
2023-12-29 17:00:00+00:00,41971.23,42049.47,41735.29,41851.12,2093.25145
2023-12-29 17:30:00+00:00,41851.12,41930.77,41650.0,41806.43,1262.76668
2023-12-29 18:00:00+00:00,41806.42,41938.84,41759.92,41877.27,796.8006
2023-12-29 18:30:00+00:00,41877.28,42115.35,41871.11,42054.54,937.65441
2023-12-29 19:00:00+00:00,42054.54,42153.04,41947.91,42100.01,628.02269
2023-12-29 19:30:00+00:00,42100.0,42158.65,42073.89,42116.51,462.05517
2023-12-29 20:00:00+00:00,42116.51,42122.14,42012.94,42036.35,481.59432
2023-12-29 20:30:00+00:00,42036.34,42074.22,41933.9,42026.98,621.69072
2023-12-29 21:00:00+00:00,42026.97,42240.0,41919.51,41986.67,1029.89129
2023-12-29 21:30:00+00:00,41986.68,42007.4,41871.24,41936.22,689.06786
2023-12-29 22:00:00+00:00,41936.23,41943.77,41300.0,41781.14,2043.63024
2023-12-29 22:30:00+00:00,41781.13,41845.07,41639.67,41761.02,624.091
2023-12-29 23:00:00+00:00,41761.03,42000.63,41761.02,41975.48,847.63353
2023-12-29 23:30:00+00:00,41975.49,42098.74,41951.1,42066.95,532.01833
2023-12-30 00:00:00+00:00,42066.94,42209.22,42011.23,42157.04,571.41945
2023-12-30 00:30:00+00:00,42157.04,42169.98,42094.56,42094.56,344.54171
2023-12-30 01:00:00+00:00,42094.57,42158.08,42079.08,42128.0,378.40151
2023-12-30 01:30:00+00:00,42128.0,42207.26,42128.0,42165.94,458.92061
2023-12-30 02:00:00+00:00,42165.94,42186.1,42103.63,42152.74,296.54023
2023-12-30 02:30:00+00:00,42152.75,42152.75,41844.86,41905.8,524.24745
2023-12-30 03:00:00+00:00,41905.81,42011.1,41820.0,41824.95,355.05056
2023-12-30 03:30:00+00:00,41824.94,42004.6,41824.87,41972.81,273.0813
2023-12-30 04:00:00+00:00,41972.81,42062.92,41969.49,42006.9,257.7651
2023-12-30 04:30:00+00:00,42006.9,42054.8,41973.92,41990.0,304.31185
2023-12-30 05:00:00+00:00,41990.01,42131.1,41976.01,42068.23,354.37046
2023-12-30 05:30:00+00:00,42068.23,42116.76,42044.82,42104.0,240.95492
2023-12-30 06:00:00+00:00,42104.01,42160.0,42035.82,42047.99,306.98557
2023-12-30 06:30:00+00:00,42047.99,42097.66,42035.82,42050.35,229.96518
2023-12-30 07:00:00+00:00,42050.35,42128.62,41992.02,42012.93,286.6774
2023-12-30 07:30:00+00:00,42012.93,42012.94,41930.43,41947.16,370.79177
2023-12-30 08:00:00+00:00,41947.16,41988.62,41830.0,41845.23,503.17938
2023-12-30 08:30:00+00:00,41845.24,41893.59,41540.85,41575.91,1124.75033
2023-12-30 09:00:00+00:00,41575.91,41726.13,41574.0,41574.0,714.722
2023-12-30 09:30:00+00:00,41574.01,41698.03,41520.3,41691.09,591.93975
2023-12-30 10:00:00+00:00,41691.1,41753.88,41678.07,41728.0,446.75221
2023-12-30 10:30:00+00:00,41727.99,41818.49,41715.53,41807.05,468.76676
2023-12-30 11:00:00+00:00,41807.04,41965.51,41807.04,41878.12,551.63202
2023-12-30 11:30:00+00:00,41878.12,41918.83,41843.13,41893.96,304.78362
2023-12-30 12:00:00+00:00,41893.96,42077.43,41882.71,42077.43,524.59564
2023-12-30 12:30:00+00:00,42077.42,42104.7,41921.68,41990.3,518.06528
2023-12-30 13:00:00+00:00,41990.31,42023.97,41886.43,41945.99,430.43168
2023-12-30 13:30:00+00:00,41945.99,42050.0,41915.69,42029.35,435.22745
